sensor;locationId;altitude;lat;long;value;dateOriginal;date
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9848613;1677006000000;21/02/2023 19:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9972269;1677009600000;21/02/2023 20:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.995551;1677013200000;21/02/2023 21:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.001.238;1677016800000;21/02/2023 22:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8760689;1677020400000;21/02/2023 23:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8668823;1677024000000;22/02/2023 0:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8496168;1677027600000;22/02/2023 1:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8433716;1677031200000;22/02/2023 2:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8735603;1677034800000;22/02/2023 3:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8155701;1677038400000;22/02/2023 4:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.832287;1677042000000;22/02/2023 5:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.734206;1677045600000;22/02/2023 6:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6241079;1677049200000;22/02/2023 7:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5556799;1677052800000;22/02/2023 8:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5602954;1677056400000;22/02/2023 9:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5553005;1677060000000;22/02/2023 10:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5133803;1677063600000;22/02/2023 11:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5007212;1677067200000;22/02/2023 12:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.5547295;1677070800000;22/02/2023 13:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6868293;1677074400000;22/02/2023 14:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7889563;1677078000000;22/02/2023 15:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9460911;1677081600000;22/02/2023 16:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9649974;1677085200000;22/02/2023 17:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.864355;1677088800000;22/02/2023 18:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8903173;1677092400000;22/02/2023 19:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.907446;1677096000000;22/02/2023 20:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9138603;1677099600000;22/02/2023 21:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9191921;1677103200000;22/02/2023 22:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9604862;1677106800000;22/02/2023 23:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9591783;1677110400000;23/02/2023 0:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.930023;1677114000000;23/02/2023 1:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8932312;1677117600000;23/02/2023 2:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8545007;1677121200000;23/02/2023 3:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8608418;1677124800000;23/02/2023 4:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9886383;1677128400000;23/02/2023 5:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7944379;1677132000000;23/02/2023 6:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7705365;1677135600000;23/02/2023 7:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7578436;1677139200000;23/02/2023 8:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7377209;1677142800000;23/02/2023 9:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6573257;1677146400000;23/02/2023 10:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6105462;1677150000000;23/02/2023 11:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6080385;1677153600000;23/02/2023 12:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7668042;1677157200000;23/02/2023 13:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.7056277;1677160800000;23/02/2023 14:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8531967;1677164400000;23/02/2023 15:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.017.076;1677168000000;23/02/2023 16:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.045.058;1677171600000;23/02/2023 17:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.048.834;1677175200000;23/02/2023 18:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;113.778;1677178800000;23/02/2023 19:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;111.413;1677182400000;23/02/2023 20:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;1.003.567;1677186000000;23/02/2023 21:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.967563;1677189600000;23/02/2023 22:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9507906;1677193200000;23/02/2023 23:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9281733;1677196800000;24/02/2023 0:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9608958;1677200400000;24/02/2023 1:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9310316;1677204000000;24/02/2023 2:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9119262;1677207600000;24/02/2023 3:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8854589;1677211200000;24/02/2023 4:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.9370666;1677214800000;24/02/2023 5:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8030081;1677218400000;24/02/2023 6:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8073437;1677222000000;24/02/2023 7:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8283654;1677225600000;24/02/2023 8:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8306199;1677229200000;24/02/2023 9:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.6291775;1677232800000;24/02/2023 10:00
clorofila;Fko-LYcB0U_NvF-sOx7d_Profundidad: 3m_37.70940_-0.78552_-3;-3;37,7094;-0,78552;0.8696889;1677236400000;24/02/2023 11:00
